zone_temp_id;temporary_JJ96-211;register;act_number;warning
60116;33484;JJ176;347;FOLIO vide ou non reconnu dans Acts CSV
60117;33485;JJ176;348;FOLIO vide ou non reconnu dans Acts CSV
60118;33485;JJ176;348;FOLIO vide ou non reconnu dans Acts CSV
60119;33486;JJ176;349;FOLIO vide ou non reconnu dans Acts CSV
60120;33486;JJ176;349;FOLIO vide ou non reconnu dans Acts CSV
60121;33487;JJ176;350;FOLIO vide ou non reconnu dans Acts CSV
60122;33487;JJ176;350;FOLIO vide ou non reconnu dans Acts CSV
60123;33488;JJ176;351;FOLIO vide ou non reconnu dans Acts CSV
60124;33488;JJ176;351;FOLIO vide ou non reconnu dans Acts CSV
60125;33489;JJ176;352;FOLIO vide ou non reconnu dans Acts CSV
60126;33490;JJ176;353;FOLIO vide ou non reconnu dans Acts CSV
60127;33491;JJ176;354;FOLIO vide ou non reconnu dans Acts CSV
60128;33492;JJ176;355;FOLIO vide ou non reconnu dans Acts CSV
60129;33493;JJ176;356;
60130;33493;JJ176;356;
60131;33494;JJ176;357;FOLIO vide ou non reconnu dans Acts CSV
60132;33494;JJ176;357;FOLIO vide ou non reconnu dans Acts CSV
60133;33495;JJ176;358;
60134;33496;JJ176;359;FOLIO vide ou non reconnu dans Acts CSV
60135;33497;JJ176;360;FOLIO vide ou non reconnu dans Acts CSV
60136;33497;JJ176;360;FOLIO vide ou non reconnu dans Acts CSV
60137;33498;JJ176;361;FOLIO vide ou non reconnu dans Acts CSV
60138;33499;JJ176;362;FOLIO vide ou non reconnu dans Acts CSV
60139;33500;JJ176;363;FOLIO vide ou non reconnu dans Acts CSV
60140;33501;JJ176;364;FOLIO vide ou non reconnu dans Acts CSV
60141;33501;JJ176;364;FOLIO vide ou non reconnu dans Acts CSV
60142;33502;JJ176;365;FOLIO vide ou non reconnu dans Acts CSV
60143;33502;JJ176;365;FOLIO vide ou non reconnu dans Acts CSV
60144;33503;JJ176;366;
60145;33503;JJ176;366;
60146;33504;JJ176;367;FOLIO vide ou non reconnu dans Acts CSV
60147;33505;JJ176;368;FOLIO vide ou non reconnu dans Acts CSV
60148;33506;JJ176;369;FOLIO vide ou non reconnu dans Acts CSV
60149;33506;JJ176;369;FOLIO vide ou non reconnu dans Acts CSV
60150;33507;JJ176;370;
60151;33508;JJ176;371;FOLIO vide ou non reconnu dans Acts CSV
60152;33509;JJ176;372;
60153;33510;JJ176;373;FOLIO vide ou non reconnu dans Acts CSV
60154;33510;JJ176;373;FOLIO vide ou non reconnu dans Acts CSV
60155;33511;JJ176;374;FOLIO vide ou non reconnu dans Acts CSV
60156;33512;JJ176;375;
60157;33513;JJ176;376;FOLIO vide ou non reconnu dans Acts CSV
60158;33513;JJ176;376;FOLIO vide ou non reconnu dans Acts CSV
60159;33514;JJ176;377;FOLIO vide ou non reconnu dans Acts CSV
60160;33514;JJ176;377;FOLIO vide ou non reconnu dans Acts CSV
60161;33515;JJ176;378;
60162;33516;JJ176;379;
60163;33517;JJ176;380;
60164;33517;JJ176;380;
60165;33518;JJ176;381;
60166;33519;JJ176;382;
60167;33519;JJ176;382;
60168;33520;JJ176;383;FOLIO vide ou non reconnu dans Acts CSV
60169;33520;JJ176;383;FOLIO vide ou non reconnu dans Acts CSV
60170;33521;JJ176;384;FOLIO vide ou non reconnu dans Acts CSV
60171;33521;JJ176;384;FOLIO vide ou non reconnu dans Acts CSV
60172;33522;JJ176;385;
60173;33523;JJ176;386;FOLIO vide ou non reconnu dans Acts CSV
60174;33523;JJ176;386;FOLIO vide ou non reconnu dans Acts CSV
60175;33523;JJ176;386;FOLIO vide ou non reconnu dans Acts CSV
60176;33523;JJ176;386;FOLIO vide ou non reconnu dans Acts CSV
60177;33523;JJ176;386;FOLIO vide ou non reconnu dans Acts CSV
60178;33524;JJ176;387;FOLIO vide ou non reconnu dans Acts CSV
60179;33525;JJ176;388;FOLIO vide ou non reconnu dans Acts CSV
60180;33526;JJ176;389;FOLIO vide ou non reconnu dans Acts CSV
60181;33527;JJ176;390;
60182;33527;JJ176;390;
60183;33528;JJ176;391;FOLIO vide ou non reconnu dans Acts CSV
60184;33529;JJ176;392;
60185;33529;JJ176;392;
60186;33530;JJ176;393;FOLIO vide ou non reconnu dans Acts CSV
60187;33531;JJ176;394;FOLIO vide ou non reconnu dans Acts CSV
60188;33531;JJ176;394;FOLIO vide ou non reconnu dans Acts CSV
60189;33532;JJ176;395;
60190;33533;JJ176;396;
60191;33533;JJ176;396;
60192;33534;JJ176;397;
60193;33535;JJ176;398;FOLIO vide ou non reconnu dans Acts CSV
60194;33535;JJ176;398;FOLIO vide ou non reconnu dans Acts CSV
60195;33536;JJ176;399;FOLIO vide ou non reconnu dans Acts CSV
60196;33536;JJ176;399;FOLIO vide ou non reconnu dans Acts CSV
60197;33537;JJ176;400;
60198;33537;JJ176;400;
60199;33538;JJ176;401;FOLIO vide ou non reconnu dans Acts CSV
60200;33539;JJ176;402;FOLIO vide ou non reconnu dans Acts CSV
60201;33539;JJ176;402;FOLIO vide ou non reconnu dans Acts CSV
60202;33540;JJ176;403;
60203;33541;JJ176;404;FOLIO vide ou non reconnu dans Acts CSV
60204;33541;JJ176;404;FOLIO vide ou non reconnu dans Acts CSV
60205;33542;JJ176;405;FOLIO vide ou non reconnu dans Acts CSV
60206;33543;JJ176;406;FOLIO vide ou non reconnu dans Acts CSV
60207;33544;JJ176;407;FOLIO vide ou non reconnu dans Acts CSV
60208;33545;JJ176;408;FOLIO vide ou non reconnu dans Acts CSV
60209;33546;JJ176;409;
60210;33547;JJ176;410;FOLIO vide ou non reconnu dans Acts CSV
60211;33547;JJ176;410;FOLIO vide ou non reconnu dans Acts CSV
60212;33548;JJ176;411;
60213;33549;JJ176;412;
60214;33549,1;JJ176;412bis;FOLIO vide ou non reconnu dans Acts CSV
60215;33550;JJ176;413;FOLIO vide ou non reconnu dans Acts CSV
60216;33551;JJ176;414;FOLIO vide ou non reconnu dans Acts CSV
60217;33552;JJ176;415;
60218;33552;JJ176;415;
60219;33553;JJ176;416;
60220;33554;JJ176;417;
60221;33555;JJ176;418;
60222;33556;JJ176;419;
60223;33557;JJ176;420;
60224;33557;JJ176;420;
60225;33558;JJ176;421;FOLIO vide ou non reconnu dans Acts CSV
60226;33559;JJ176;422;
60227;33559;JJ176;422;
60228;33560;JJ176;423;
60229;33561;JJ176;424;
60230;33562;JJ176;425;
60231;33563;JJ176;426;FOLIO vide ou non reconnu dans Acts CSV
60232;33563;JJ176;426;FOLIO vide ou non reconnu dans Acts CSV
