Paris_AN_JJ_inventaire_Gascogne.xml_Register;Paris_AN_JJ_inventaire_Gascogne.xml_Act_number;Paris_AN_JJ_inventaire_Gascogne.xml_Head;Paris_AN_JJ_inventaire_Gascogne.xml_Locus;Paris_AN_JJ_inventaire_Gascogne.xml_File
JJ54A;497;127;36vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;498;128;36vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;499;129;36vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;500;130;36vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;504;131;37;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;506;132;37;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;507;133;37;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;509;134;37;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;517;135;37vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;556;136;42vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;568;137;43;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;602;138;45vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;607;139;46;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;661;140;52;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;673;141;52vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;681;142;53;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54A;688;143;53vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54B;48;144;33;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54B;63;145;40;Paris_AN_JJ_inventaire_Gascogne.xml
JJ54B;64;146;40;Paris_AN_JJ_inventaire_Gascogne.xml
JJ55;17;147;10vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ55;22;148;12;Paris_AN_JJ_inventaire_Gascogne.xml
JJ55;32;149;17;Paris_AN_JJ_inventaire_Gascogne.xml
JJ55;50;150;23;Paris_AN_JJ_inventaire_Gascogne.xml
JJ55;73;151;36vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ55;77;152;38;Paris_AN_JJ_inventaire_Gascogne.xml
JJ55;159;153;71;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;6;154;2;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;10;155;3vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;15;156;5;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;17;157;6vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;63;158;22;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;92;159;35vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;113;160;44vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;178;161;85;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;195;162;88;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;196;163;88vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;220;164;95vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;223;165;97vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;245;166;110vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;246;167;111;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;259;168;115vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;291;169;130vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;330;170;147vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;343;171;152vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;387;172;170;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;440;173;187;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;455;174;190vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;461;175;193;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;465;176;196vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;475;177;206;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;511;178;221;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;527;179;231;Paris_AN_JJ_inventaire_Gascogne.xml
JJ56;553;180;242vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;4;181;1;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;111;182;8;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;112;183;8;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;113;184;8;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;114;185;8;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;115;186;8;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;116;187;8;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;206;188;13vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;217;189;14;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;256;190;15;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;257;191;15;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;259;192;15;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;260;193;15;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;262;194;15vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;263;195;15vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;271;196;16;Paris_AN_JJ_inventaire_Gascogne.xml
;InventaireII;197;;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;274;198;16vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;275;199;16vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;282;200;17;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;288;201;17;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;314;202;20vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;322;203;21;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;335;204;22;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;339;205;22;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;336;206A;22;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;337;206B;22;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;338;206C;22;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;340;206D;22;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;342;206E;22v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;343;206F;22v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;341;207A;22v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;344;207B;22v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;347;208;23;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;348;209;23;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;363;210;34vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;366;211;34vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;406;212;41vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;417;213;43;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;449;214;53vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ58;472;215;61v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;5;216;fol2;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;10;217;3;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;25;218;10vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;47;219;19;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;50;220;20vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;54;221;33vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;59;222;25;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;62;223;26;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;70;224;29vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;71;225;29vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;83;226;33vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;117;227;50;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;122;228;54vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;123;229;54vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;128;230;fol56v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;260;230;fol125v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;130;231;50v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;170;232;71;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;218;233;102;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;219;234;102vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;229;235;106vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;232;236;110;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;233;237;110;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;242;238;114vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;249;239;120;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;250;240;121;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;285;241;136;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;290;242;139;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;322;243;171;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;374;244;211vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;325;245;172;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;375;246;213;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;405;247;229vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;434;248;241vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;466;249;254vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;467;250;254vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;477;251;258;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;478;252;258vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;529;253;286vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;536;254;290;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;544;255;297;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;562;256;314;Paris_AN_JJ_inventaire_Gascogne.xml
JJ60;39;257;17;Paris_AN_JJ_inventaire_Gascogne.xml
JJ60;85;258;57;Paris_AN_JJ_inventaire_Gascogne.xml
JJ60;193;259;122;Paris_AN_JJ_inventaire_Gascogne.xml
JJ61;67;260;26;Paris_AN_JJ_inventaire_Gascogne.xml
JJ61;68;261;26v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ61;69;262;27;Paris_AN_JJ_inventaire_Gascogne.xml
JJ61;78;263;30;Paris_AN_JJ_inventaire_Gascogne.xml
JJ59;466;264A;254v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ61;103;264B;38;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;25;264B;14;Paris_AN_JJ_inventaire_Gascogne.xml
JJ61;114;265;44v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ61;115;266;45v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ61;116;267;45;Paris_AN_JJ_inventaire_Gascogne.xml
JJ61;121;268;fo49;Paris_AN_JJ_inventaire_Gascogne.xml
JJ61;142;269;65;Paris_AN_JJ_inventaire_Gascogne.xml
JJ61;222;270;107v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ61;361;271A;157v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ61;362;271B;157v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ61;363;271C;157v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ61;364;272;157v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ61;368;273;158v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ61;452;274;201v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;1;275;1-8;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;4;276;8v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;5;277;9;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;20;278;12v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;28;279;15;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;36;280;18v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;37;281;19v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;38;282;19v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;48;283;26vo-28v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;110;284;65v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;184;285;99;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;192;286;106;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;224;287;129v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;260;288;148v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;263;289;149v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;266;290;151;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;276;291;154à156;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;279;292;158;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;327;293;181;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;335;294;187v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;391;295;214;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;394;296;215v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;399;297;218v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;414;298;227v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;415;299;228;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;425;300;234v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;426;301;235;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;491;302;262v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ62;505;303;269v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;14;304;8v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;54;305;25-27v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;36;306;18v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;55;306;27v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;62;307;34v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;68;308;36;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;82;309;42v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;119;310;65v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;186;311;104vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;190;312;105v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;203;312bis;114vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;227;313;126v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;235;314;130;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;281;315;138;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;321;316;159;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;345;317;172v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;359;318;182v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;411;319;214;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;457;320;244;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;465;321;249;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;502;322;279;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;548;323;306v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;554;324;316;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;557;325;319v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;588;326;336;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;589;327;337;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;590;328;337v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;591;329;339;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;654;330;378v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;668;331;391;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;686;332;399;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;693;333;403;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;728;334;425v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;hO732;335;428;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;743;336;440;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;751;337;442v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ64;753;338;444v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65A;2;339;1;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65A;16;340;5v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65A;17;341;5v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65A;20;342;8-11v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ65A;24;343;foi13;Paris_AN_JJ_inventaire_Gascogne.xml
