File;Register;Act_number;Head
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ123;46bis;46bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ123;47bis;47bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ125;290bis;290bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ126;140bis;140bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ126;207bis;207bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ127;91bis;91/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ129;145bis;145/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ129;30bis;30bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ130;180bis;180bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ131;100bis;100/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ131;101bis;101/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ131;102bis;102/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ131;103bis;103/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ131;104bis;104/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ131;105bis;105/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ131;106bis;106/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ131;108bis;108/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ131;109bis;109/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ131;110bis;110/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ131;113bis;113/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ131;170bis;170bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ131;221bis;221bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ132;156bis;156bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ132;156ter;156ter
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ133;204bis;204bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ133;208bis;208bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ134;15bis;15bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ135;107bis;107bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ135;214bis;214bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ135;255bis;255bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ135;60bis;60bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ136;130bis;130/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ136;222bis;222bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ136;246bis;246bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ136;30-30ter;30-30/ter
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ136;39bis;39/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ136;39ter;39/ter
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ139;14bis;14bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ140;153bis;153bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ140;203bis;203bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ140;203ter;203ter
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ140;234bis;234bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ140;88bis;88bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ141;117bis;117bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ141;296bis;296bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ142;25bis;25bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ144;141bis;141bis
