Paris_AN_JJ_inventaire_JJ37-50.xml_Register;Paris_AN_JJ_inventaire_JJ37-50.xml_Act_number;Paris_AN_JJ_inventaire_JJ37-50.xml_Head;Paris_AN_JJ_inventaire_JJ37-50.xml_Locus;Paris_AN_JJ_inventaire_JJ37-50.xml_File
JJ38;95;196;50v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;96;197;51r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;97;198;51r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;98;199;51r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;99;200;51r-51v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;100;201;51v-52;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;101;202;52r-52v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;102;203;52v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;103;204;52v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;104;205;53r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;105;206;53v-54;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;106;207;54r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;107;208;54r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;108;209;54v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;109;210;54v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;110;211;54v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;111;212;54v-55;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;112;213;55r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;113;214;55r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;114;215;55r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;115;216;55v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;117;217;55v-56;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;118;218;56r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;119;219;56v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;120;220;56v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;121;221;58r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;122;222;58r-58v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;123;223;58v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;124;224;59r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;125;225;59r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;126;226;59r-59v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;127;227;60r-60v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;128;228;61r-61v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;129;229;61v-62v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;130;230;62v-63v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;131;231;63v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;132;232;63v-64;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;133;233;64r-67;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;134;234;67r-67v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;135;235;67v-68;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;136;236;68r-68v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;137;237;68v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;138;238;68v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;139;239;69r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;140;240;69r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;141;241;69r-69v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;142;242;70r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;143;243;70r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;144;244;70r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;145;245;70r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;146;246;70v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;147;247;70v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;148;248;70v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;149;249;71r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;150;250;71r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;151;251;71r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;152;252;71r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;153;253;71v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;154;254;71v-72;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;155;255;72r-72v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;156;256;72v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;157;257;72v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ38;158;258;73r;Paris_AN_JJ_inventaire_JJ37-50.xml
