Paris_AN_JJ_inventaire_JJ80.xml_Register;Paris_AN_JJ_inventaire_JJ80.xml_Act_number;Paris_AN_JJ_inventaire_JJ80.xml_Head;Paris_AN_JJ_inventaire_JJ80.xml_Locus;Paris_AN_JJ_inventaire_JJ80.xml_File
JJ80;56;56;32r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;57;57;32r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;58;58;32v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;59;59;33r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;60;60;33v-34v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;61;61;34v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;62;62;35r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;63;63;35v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;64;64;36r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;65;65;36v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;66;66;37r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;67;67;37v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;68;68;37v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;69;69;38r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;70;70;38v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;71;71;38v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;72;72;39r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;73;73;39v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;74;74;40r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;75;75;40r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;76;76;40v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;77;77;40v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;78;78;41r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;79;79;41v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;80;80;41v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;81;81;42r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;82;82;42v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;83;83;43r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;84;84;43v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;85;85;44r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;86;86;45r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;87;87;45v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;88;88;46r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;89;89;46r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;90;90;47r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;91;91;47v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;92;92;47v-50r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;93;93;50r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;94;94;50v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;95;95;50v-51v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;96;96;51v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;97;97;52r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;98;98;52v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;99;99;53r-54v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;100;100;54v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;101;101;55r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;102;102;55r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;103;103;55v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;104;104;56r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;105;105;56v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;106;106;57r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;107;107;57v;Paris_AN_JJ_inventaire_JJ80.xml
