manifestURL,canvasId,urlImage,folderPath,imageLabel,imageWidthAsDeclared,imageHeightAsDeclared,htmlCode,imageFileName,imageWidthAsDownloaded,imageHeightAsDownloaded,urlResizedImage,ResizedImagehtmlCode,ResizedImageWidthAsDownloaded,ResizedImageHeightAsDownloaded
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293266,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vb76vlwb2rll/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,48v,3906,4203,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_107.jpg,3906,4203,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vb76vlwb2rll/full/1200,/0/default.jpg",200,1200,1291
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293267,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vhf1kcni9p4b/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,49r,4002,4230,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_108.jpg,4002,4230,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vhf1kcni9p4b/full/1200,/0/default.jpg",200,1200,1268
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293268,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vyo76w6pxv15/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,49v,3933,4200,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_109.jpg,3933,4200,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vyo76w6pxv15/full/1200,/0/default.jpg",200,1200,1282
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293269,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v2xqz9tque79/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,50r,4113,4272,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_110.jpg,4113,4272,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v2xqz9tque79/full/1200,/0/default.jpg",200,1200,1247
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293270,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vfsl3avse6r3/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,50v,4047,4230,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_111.jpg,4047,4230,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vfsl3avse6r3/full/1200,/0/default.jpg",200,1200,1255
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293271,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vexzknxgo3jl/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,51r,4104,4251,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_112.jpg,4104,4251,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vexzknxgo3jl/full/1200,/0/default.jpg",200,1200,1243
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293272,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vtium8o0fyg8/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,51v,4704,4302,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_113.jpg,4704,4302,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vtium8o0fyg8/full/,1200/0/default.jpg",200,1312,1200
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293273,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vkkifcxm3011/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,52r,4233,4215,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_114.jpg,4233,4215,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vkkifcxm3011/full/,1200/0/default.jpg",200,1205,1200
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293274,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0moy2c1myu4/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,52v,4704,4302,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_115.jpg,4704,4302,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0moy2c1myu4/full/,1200/0/default.jpg",200,1312,1200
https://api.irht.cnrs.fr/ark:/63955/f01ldpo5kqzp/manifest.json,https://arca.irht.cnrs.fr/iiif/128511/canvas/canvas-4293275,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vtgdihsgy11i/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210,53r,4803,4260,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ210\Paris_Archives_Nationales_JJ210_116.jpg,4803,4260,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vtgdihsgy11i/full/,1200/0/default.jpg",200,1353,1200
